segment_id	isolate_id	isolate_name	subtype	host	date	location1	location2	location3	lineage	alt_name	setting	ref	location3_short	host_type	con_date	match	log	tag	event	int_7d	int_15d	int_31d	int_90d
EPI1891418	EPI_ISL_4032281	chicken/Taipei_City/18010007-3/2018	H5N2	Chicken	2018-01-14	Asia	Taiwan	Taipei_City	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	1148		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.E33m.M0.E36m.M0.E39m.M0.	SH	SH-Taipei	Changhua:1|Chiayi:1|Pingtung:3|Taichung:1|Yunlin:1	Changhua:1|Chiayi:2|Pingtung:5|Taichung:1|Yunlin:1	Changhua:5|Chiayi:2|Pingtung:6|Taichung:1|Tainan:2|Yunlin:12	Changhua:5|Chiayi:5|Pingtung:13|Taichung:1|Tainan:2|Yunlin:29
EPI1891426	EPI_ISL_4032282	chicken/Taipei_City/18010008-3/2018	H5N2	Chicken	2018-01-14	Asia	Taiwan	Taipei_City	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	1148		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.E33m.M0.E36m.M0.E39m.M0.	SH	SH-Taipei	Changhua:1|Chiayi:1|Pingtung:3|Taichung:1|Yunlin:1	Changhua:1|Chiayi:2|Pingtung:5|Taichung:1|Yunlin:1	Changhua:5|Chiayi:2|Pingtung:6|Taichung:1|Tainan:2|Yunlin:12	Changhua:5|Chiayi:5|Pingtung:13|Taichung:1|Tainan:2|Yunlin:29
EPI1891434	EPI_ISL_4032283	chicken/Taipei_City/18050007-1/2018	H5N2	Chicken	2018-05-09	Asia	Taiwan	Taipei_City	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	1263		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.E33m.M0.E36m.M0.E39m.M0.E42m.M0.E45m.M0.	SH	SH-Taipei	Yunlin:1	Tainan:1|Yunlin:3	Tainan:1|Yunlin:3	Changhua:2|Pingtung:2|Taichung:1|Tainan:3|Yunlin:15
EPI1891442	EPI_ISL_4032284	chicken/Taipei_City/18050010-8/2018	H5N2	Chicken	2018-05-14	Asia	Taiwan	Taipei_City	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	1268		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.E33m.M0.E36m.M0.E39m.M0.E42m.M0.E45m.M0.	SH	SH-Taipei	Tainan:1|Yunlin:1	Tainan:1|Yunlin:2	Changhua:1|Tainan:1|Yunlin:3	Changhua:2|Pingtung:1|Taichung:1|Tainan:3|Yunlin:14
EPI1891466	EPI_ISL_4032287	chicken/Taipei/16120021/2016	H5N8	Chicken	2016-12-09	Asia	Taiwan	Taipei	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	747		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.	SH	SH-Taipei				Yilan:1|Yunlin:13
EPI1891474	EPI_ISL_4032288	chicken/Taipei/17050005-1/2017	H5N8	Chicken	2017-05-06	Asia	Taiwan	Taipei	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	895		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.	SH	SH-Taipei	Changhua:1|Yunlin:2	Changhua:2|Pingtung:2|Yunlin:3	Changhua:3|Pingtung:3|Yunlin:4	Changhua:5|Chiayi:5|Nantou:1|Pingtung:4|Tainan:5|Yunlin:20
EPI1891482	EPI_ISL_4032289	chicken/Taipei/17050006-2/2017	H5N8	Chicken	2017-05-07	Asia	Taiwan	Taipei	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	896		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.	SH	SH-Taipei	Pingtung:1|Yunlin:2	Changhua:2|Pingtung:2|Yunlin:3	Changhua:3|Pingtung:3|Yunlin:4	Changhua:5|Chiayi:5|Nantou:1|Pingtung:4|Tainan:5|Yunlin:20
EPI1891506	EPI_ISL_4032292	chicken/Taipei/17050009-3/2017	H5N8	Chicken	2017-05-07	Asia	Taiwan	Taipei	GSGD-2344c	-	Slaughterhouse	Huang_2021	Taipei	Chicken/Turkey	896		M0.E7.M0.E3m.M0.E6m.M0.E9m.M0.E12m.M0.E15m.M0.E18m.M0.E21m.M0.E24m.M0.E27m.M0.E30m.M0.	SH	SH-Taipei	Pingtung:1|Yunlin:2	Changhua:2|Pingtung:2|Yunlin:3	Changhua:3|Pingtung:3|Yunlin:4	Changhua:5|Chiayi:5|Nantou:1|Pingtung:4|Tainan:5|Yunlin:20
EPI1891514	EPI_ISL_4032293	chicken/Yunlin/15020048-1/2015	H5N2	Chicken	2015-02-02	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	71	29b	M1	M1	29b	Changhua:5|Chiayi:15|Hsinchu:1|Kaohsiung:6|Miaoli:1|Nantou:2|Pingtung:20|Taichung:1|Tainan:16|Yunlin:48	Changhua:16|Chiayi:28|Hsinchu:1|Kaohsiung:15|Miaoli:1|Nantou:3|Pingtung:38|Taichung:2|Tainan:31|Yunlin:103	Changhua:36|Chiayi:56|Hsinchu:7|Kaohsiung:16|Miaoli:2|Nantou:6|Pingtung:75|Taichung:5|Tainan:69|Taitung:1|Yunlin:257	Changhua:46|Chiayi:89|Hsinchu:11|Kaohsiung:22|Miaoli:2|Nantou:7|Pingtung:148|Taichung:5|Tainan:105|Taitung:1|Taoyuan:4|Yunlin:394
EPI1891522	EPI_ISL_4032294	chicken/Yunlin/15040002-2/2015	H5N2	Chicken	2015-03-31	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	128	194b	M1	M1	194b	Changhua:1|Pingtung:1|Yunlin:2	Changhua:1|Nantou:1|Pingtung:1|Tainan:2|Yunlin:5	Changhua:2|Chiayi:1|Nantou:1|Pingtung:1|Tainan:2|Taoyuan:1|Yunlin:8	Changhua:15|Chiayi:7|Hsinchu:7|Kaohsiung:1|Nantou:2|Pingtung:10|Tainan:13|Taoyuan:2|Yunlin:40
EPI1891530	EPI_ISL_4032295	chicken/Yunlin/15040027/2015	H5N2	Chicken	2015-04-20	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	148	205b|206b	M2.R2	M2	205b|206b	Changhua:3|Tainan:2|Yunlin:8	Changhua:6|Tainan:2|Yunlin:9	Changhua:8|Pingtung:1|Tainan:4|Yunlin:15	Changhua:15|Chiayi:3|Nantou:1|Pingtung:5|Tainan:5|Taoyuan:1|Yunlin:29
EPI1891538	EPI_ISL_4032296	chicken/Yunlin/15050012/2015	H5N8	Chicken	2015-05-04	Asia	Taiwan	Yunlin	GSGD-2344c	-	Slaughterhouse	Huang_2021	Yunlin	Chicken/Turkey	162	208b|209b|200b|194b|171b|175b|141b|115b	M0.E7.M0.E3m.1Mi.R8	SH	SH-Yunlin	Changhua:1|Pingtung:1|Yunlin:3	Changhua:2|Pingtung:1|Yunlin:4	Changhua:10|Pingtung:2|Tainan:3|Yunlin:14	Changhua:14|Nantou:1|Pingtung:4|Tainan:5|Yunlin:30
EPI1891546	EPI_ISL_4032297	chicken/Yunlin/15050037-2/2015	H5N2	Chicken	2015-05-15	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	173	230b	M1	M1	230b	Changhua:3|Pingtung:1|Tainan:1|Yunlin:2	Changhua:3|Pingtung:2|Tainan:1|Yunlin:3	Changhua:5|Pingtung:3|Tainan:1|Yunlin:10	Changhua:18|Pingtung:4|Tainan:5|Yunlin:29
EPI1891554	EPI_ISL_4032298	chicken/Yunlin/15050039-2/2015	H5N2	Chicken	2015-05-16	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	174	231b	M1	M1	231b	Changhua:2|Pingtung:1|Yunlin:2	Changhua:3|Pingtung:2|Tainan:1|Yunlin:3	Changhua:5|Pingtung:3|Tainan:1|Yunlin:10	Changhua:18|Pingtung:4|Tainan:5|Yunlin:28
EPI1891562	EPI_ISL_4032299	chicken/Yunlin/15060014-1/2015	H5N2	Chicken	2015-06-05	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	194	241b	M1	M1	241b	Yunlin:1	Yunlin:4	Changhua:4|Pingtung:1|Yunlin:7	Changhua:18|Kaohsiung:1|Pingtung:4|Tainan:3|Yunlin:23
EPI1891570	EPI_ISL_4032300	chicken/Yunlin/15080024/2015	H5N2	Chicken	2015-08-27	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	277	271b	M1	M1	271b	Chiayi:1|Pingtung:4|Yunlin:1	Chiayi:1|Pingtung:4|Yunlin:1	Chiayi:1|Pingtung:5|Yunlin:6	Changhua:5|Chiayi:2|Nantou:1|Pingtung:7|Tainan:1|Taitung:1|Yunlin:13
EPI1891578	EPI_ISL_4032301	chicken/Yunlin/16010001-1/2016	H5N2	Chicken	2016-01-01	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	404	299b	M1	M1	299b	Changhua:1|Chiayi:1|Yunlin:1	Changhua:3|Chiayi:2|Pingtung:2|Yunlin:2	Changhua:4|Chiayi:3|Pingtung:2|Tainan:3|Taoyuan:1|Yunlin:2	Changhua:7|Chiayi:3|Pingtung:7|Tainan:4|Taoyuan:1|Yunlin:9
EPI1891586	EPI_ISL_4032302	chicken/Yunlin/16010008-1/2016	H5N2	Chicken	2016-01-05	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	408	301b	M1	M1	301b	Changhua:3|Chiayi:1|Pingtung:1|Yunlin:1	Changhua:3|Chiayi:2|Pingtung:1|Tainan:2|Taoyuan:1|Yunlin:2	Changhua:4|Chiayi:3|Pingtung:2|Tainan:3|Taoyuan:1|Yunlin:2	Changhua:7|Chiayi:3|Pingtung:7|Tainan:4|Taoyuan:1|Yunlin:9
EPI1891594	EPI_ISL_4032303	chicken/Yunlin/16020038/2016	H5N8	Chicken	2016-02-23	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	457	321b	M1	M1	321b	Changhua:1|Tainan:1|Yunlin:1	Changhua:2|Tainan:1|Yunlin:1	Changhua:2|Pingtung:1|Tainan:1|Yunlin:3	Changhua:3|Chiayi:2|Pingtung:3|Tainan:5|Taoyuan:1|Yunlin:5
EPI1891602	EPI_ISL_4032304	chicken/Yunlin/16050053/2016	H5N2	Chicken	2016-05-30	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	554	333b	M1	M1	333b	Yunlin:1	Pingtung:1|Tainan:1|Yunlin:1	Pingtung:1|Tainan:1|Yunlin:1	Hualien:1|Pingtung:1|Tainan:4|Yunlin:1
EPI1891610	EPI_ISL_4032305	chicken/Yunlin/17010001/2017	H5N8	Chicken	2017-01-01	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	770	341b	M1	M1	341b	Yunlin:2	Yunlin:6	Yilan:1|Yunlin:12	Chiayi:10|Hsinchu:1|Hualien:2|Tainan:3|Yilan:1|Yunlin:21
EPI1891618	EPI_ISL_4032306	chicken/Yunlin/17010014/2017	H5N2	Chicken	2017-01-13	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	782	351b	M1	M1	351b	Yilan:1|Yunlin:4	Yilan:1|Yunlin:9	Yilan:1|Yunlin:13	Changhua:7|Chiayi:12|Hsinchu:1|Hualien:5|Kaohsiung:1|Pingtung:2|Tainan:8|Yilan:5|Yunlin:41
EPI1891626	EPI_ISL_4032307	chicken/Yunlin/17020033-2/2017	H5N2	Chicken	2017-02-17	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	817	383b|384b|385b	M2.R3	M2	383b|384b|385b	Changhua:2|Chiayi:6|Hsinchu:1|Hualien:2|Tainan:4|Yilan:1|Yunlin:7	Changhua:7|Chiayi:9|Hsinchu:1|Hualien:4|Kaohsiung:1|Pingtung:1|Tainan:5|Yilan:4|Yunlin:21	Changhua:7|Chiayi:12|Hsinchu:1|Hualien:5|Kaohsiung:1|Pingtung:3|Tainan:8|Yilan:5|Yunlin:38	Changhua:10|Chiayi:16|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:6|Yunlin:66
EPI1891634	EPI_ISL_4032308	chicken/Yunlin/17020094-1/2017	H5N2	Chicken	2017-02-27	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	827	421b|423b	M2.R2	M2	421b|423b	Changhua:2|Chiayi:1|Pingtung:1|Tainan:2|Yilan:3|Yunlin:13	Changhua:6|Chiayi:2|Hualien:2|Kaohsiung:2|Pingtung:5|Tainan:5|Yilan:5|Yunlin:27	Changhua:9|Chiayi:10|Hsinchu:1|Hualien:4|Kaohsiung:3|Pingtung:5|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:40	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:62
EPI1891642	EPI_ISL_4032309	chicken/Yunlin/17020095-2/2017	H5N2	Chicken	2017-02-27	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	827	421b|423b	M2.R2	M2	421b|423b	Changhua:2|Chiayi:1|Pingtung:1|Tainan:2|Yilan:3|Yunlin:13	Changhua:6|Chiayi:2|Hualien:2|Kaohsiung:2|Pingtung:5|Tainan:5|Yilan:5|Yunlin:27	Changhua:9|Chiayi:10|Hsinchu:1|Hualien:4|Kaohsiung:3|Pingtung:5|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:40	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:62
EPI1891650	EPI_ISL_4032310	chicken/Yunlin/17030001-1/2017	H5N2	Chicken	2017-02-28	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	828	425b	M1	M1	425b	Chiayi:1|Pingtung:2|Tainan:2|Yilan:1|Yunlin:13	Changhua:5|Chiayi:2|Hualien:2|Kaohsiung:2|Pingtung:5|Tainan:5|Yilan:4|Yunlin:26	Changhua:9|Chiayi:10|Hsinchu:1|Hualien:4|Kaohsiung:3|Pingtung:6|Tainan:11|Taoyuan:1|Yilan:5|Yunlin:43	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:62
EPI1891658	EPI_ISL_4032311	chicken/Yunlin/17030007-1/2017	H5N2	Chicken	2017-03-02	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	830	431b|432b	M2.R2	M2	431b|432b	Pingtung:3|Tainan:2|Yilan:1|Yunlin:13	Changhua:5|Chiayi:1|Hualien:1|Kaohsiung:1|Pingtung:4|Tainan:5|Taoyuan:1|Yilan:3|Yunlin:18	Changhua:9|Chiayi:4|Hsinchu:1|Hualien:4|Kaohsiung:3|Pingtung:8|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:41	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:61
EPI1891666	EPI_ISL_4032312	chicken/Yunlin/17030010-1/2017	H5N2	Chicken	2017-03-02	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	830	431b|432b	M2.R2	M2	431b|432b	Pingtung:3|Tainan:2|Yilan:1|Yunlin:13	Changhua:5|Chiayi:1|Hualien:1|Kaohsiung:1|Pingtung:4|Tainan:5|Taoyuan:1|Yilan:3|Yunlin:18	Changhua:9|Chiayi:4|Hsinchu:1|Hualien:4|Kaohsiung:3|Pingtung:8|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:41	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:61
EPI1891674	EPI_ISL_4032313	chicken/Yunlin/17030014-1/2017	H5N2	Chicken	2017-03-03	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	831	434b	M1	M1	434b	Hualien:1|Kaohsiung:1|Pingtung:3|Tainan:2|Yilan:1|Yunlin:11	Changhua:3|Chiayi:1|Hualien:1|Kaohsiung:1|Pingtung:4|Tainan:4|Taoyuan:1|Yilan:3|Yunlin:17	Changhua:9|Chiayi:2|Hualien:4|Kaohsiung:3|Pingtung:8|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:39	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:60
EPI1891682	EPI_ISL_4032314	chicken/Yunlin/17030020-2/2017	H5N2	Chicken	2017-03-04	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	832	436b|437b	M2.R2	M2	436b|437b	Hualien:1|Kaohsiung:1|Pingtung:3|Tainan:2|Yilan:1|Yunlin:10	Changhua:1|Chiayi:1|Hualien:1|Kaohsiung:1|Pingtung:4|Tainan:4|Taoyuan:1|Yilan:1|Yunlin:16	Changhua:9|Chiayi:2|Hualien:4|Kaohsiung:3|Pingtung:8|Tainan:7|Taoyuan:1|Yilan:5|Yunlin:40	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:60
EPI1891690	EPI_ISL_4032315	chicken/Yunlin/17030021-1/2017	H5N2	Chicken	2017-03-04	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	832	436b|437b	M2.R2	M2	436b|437b	Hualien:1|Kaohsiung:1|Pingtung:3|Tainan:2|Yilan:1|Yunlin:10	Changhua:1|Chiayi:1|Hualien:1|Kaohsiung:1|Pingtung:4|Tainan:4|Taoyuan:1|Yilan:1|Yunlin:16	Changhua:9|Chiayi:2|Hualien:4|Kaohsiung:3|Pingtung:8|Tainan:7|Taoyuan:1|Yilan:5|Yunlin:40	Changhua:10|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:60
EPI1891698	EPI_ISL_4032316	chicken/Yunlin/17030032-2/2017	H5N2	Chicken	2017-03-12	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	840	448b|449b	M2.R2	M2	448b|449b	Changhua:2|Kaohsiung:1|Pingtung:1|Tainan:2|Taoyuan:1|Yunlin:8	Changhua:2|Hualien:1|Kaohsiung:2|Pingtung:5|Tainan:4|Taoyuan:1|Yunlin:9	Changhua:3|Chiayi:4|Hualien:1|Kaohsiung:2|Nantou:1|Pingtung:7|Tainan:8|Taoyuan:1|Yilan:1|Yunlin:26	Changhua:11|Chiayi:18|Hsinchu:1|Hualien:6|Kaohsiung:3|Nantou:1|Pingtung:8|Tainan:14|Taoyuan:1|Yilan:5|Yunlin:59
EPI1891706	EPI_ISL_4032317	chicken/Yunlin/17030065-2/2017	H5N2	Chicken	2017-03-29	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	857	472b	M1	M1	472b	Changhua:1|Nantou:1|Tainan:1|Yunlin:4	Changhua:1|Chiayi:3|Nantou:1|Tainan:2|Yunlin:9	Changhua:1|Chiayi:6|Nantou:1|Pingtung:3|Tainan:4|Yunlin:16	Changhua:13|Chiayi:16|Hsinchu:1|Hualien:4|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:13|Taoyuan:1|Yilan:5|Yunlin:58
EPI1891714	EPI_ISL_4032318	chicken/Yunlin/17040003-1/2017	H5N2	Chicken	2017-03-31	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	859	473b|474b|475b	M2.R3	M2	473b|474b|475b	Chiayi:1|Yunlin:5	Changhua:1|Chiayi:4|Nantou:1|Tainan:1|Yunlin:8	Changhua:1|Chiayi:6|Nantou:1|Pingtung:2|Tainan:2|Yunlin:12	Changhua:13|Chiayi:14|Hsinchu:1|Hualien:4|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:13|Taoyuan:1|Yilan:5|Yunlin:56
EPI1891722	EPI_ISL_4032319	chicken/Yunlin/17040004-2/2017	H5N2	Chicken	2017-03-31	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	859	473b|474b|475b	M2.R3	M2	473b|474b|475b	Chiayi:1|Yunlin:5	Changhua:1|Chiayi:4|Nantou:1|Tainan:1|Yunlin:8	Changhua:1|Chiayi:6|Nantou:1|Pingtung:2|Tainan:2|Yunlin:12	Changhua:13|Chiayi:14|Hsinchu:1|Hualien:4|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:13|Taoyuan:1|Yilan:5|Yunlin:56
EPI1891730	EPI_ISL_4032320	chicken/Yunlin/17040005-1/2017	H5N2	Chicken	2017-03-31	Asia	Taiwan	Yunlin	GSGD-2344c	-	Slaughterhouse	Huang_2021	Yunlin	Chicken/Turkey	859	473b|474b|475b	M2.R3	SH	SH-Yunlin	Chiayi:1|Yunlin:5	Changhua:1|Chiayi:4|Nantou:1|Tainan:1|Yunlin:8	Changhua:1|Chiayi:6|Nantou:1|Pingtung:2|Tainan:2|Yunlin:12	Changhua:13|Chiayi:14|Hsinchu:1|Hualien:4|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:13|Taoyuan:1|Yilan:5|Yunlin:56
EPI1891738	EPI_ISL_4032321	chicken/Yunlin/17040010-1/2017	H5N2	Chicken	2017-04-03	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	862	477b	M1	M1	477b	Chiayi:2|Yunlin:7	Changhua:1|Chiayi:2|Nantou:1|Tainan:1|Yunlin:8	Changhua:1|Chiayi:6|Nantou:1|Tainan:2|Yunlin:12	Changhua:13|Chiayi:8|Hualien:4|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:54
EPI1891746	EPI_ISL_4032322	chicken/Yunlin/17040011-1/2017	H5N2	Chicken	2017-04-05	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	864	478b|479b|480b	M2.R3	M2	478b|479b|480b	Chiayi:2|Yunlin:4	Chiayi:3|Yunlin:8	Changhua:1|Chiayi:6|Nantou:1|Tainan:2|Yunlin:11	Changhua:12|Chiayi:8|Hualien:2|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:52
EPI1891754	EPI_ISL_4032323	chicken/Yunlin/17040012-1/2017	H5N2	Chicken	2017-04-05	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	864	478b|479b|480b	M2.R3	M2	478b|479b|480b	Chiayi:2|Yunlin:4	Chiayi:3|Yunlin:8	Changhua:1|Chiayi:6|Nantou:1|Tainan:2|Yunlin:11	Changhua:12|Chiayi:8|Hualien:2|Kaohsiung:3|Nantou:1|Pingtung:11|Tainan:9|Taoyuan:1|Yilan:5|Yunlin:52
EPI1891762	EPI_ISL_4032324	chicken/Yunlin/17060019/2017	H5N2	Chicken	2017-06-25	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	945	508b	M1	M1	508b	Pingtung:2|Tainan:2|Yunlin:3	Pingtung:3|Taichung:1|Tainan:3|Yunlin:4	Changhua:1|Pingtung:4|Taichung:1|Tainan:5|Yunlin:9	Changhua:5|Pingtung:5|Taichung:1|Tainan:5|Yunlin:16
EPI1891770	EPI_ISL_4032325	chicken/Yunlin/17070010/2017	H5N2	Chicken	2017-07-06	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	956	515b	M1	M1	515b	Yunlin:3	Pingtung:1|Taichung:1|Yunlin:6	Changhua:1|Pingtung:3|Taichung:1|Tainan:2|Yunlin:9	Changhua:4|Pingtung:4|Taichung:1|Tainan:5|Yunlin:16
EPI1891778	EPI_ISL_4032326	chicken/Yunlin/18010001-2/2018	H5N2	Chicken	2018-01-02	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	1136	544b	M1	M1	544b	Changhua:1|Pingtung:1|Yunlin:4	Changhua:1|Chiayi:1|Pingtung:4|Yunlin:5	Changhua:2|Chiayi:3|Pingtung:7|Taichung:1|Yunlin:7	Changhua:5|Chiayi:5|Pingtung:13|Taichung:1|Tainan:2|Yunlin:25
EPI1891786	EPI_ISL_4032327	chicken/Yunlin/18010003-3/2018	H5N2	Chicken	2018-01-04	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	1138	547b	M1	M1	547b	Changhua:1|Pingtung:1|Yunlin:4	Changhua:1|Chiayi:1|Pingtung:3|Yunlin:5	Changhua:2|Chiayi:3|Pingtung:8|Taichung:1|Yunlin:6	Changhua:5|Chiayi:5|Pingtung:13|Taichung:1|Tainan:2|Yunlin:25
EPI1891794	EPI_ISL_4032328	chicken/Yunlin/18010023-1/2018	H5N2	Chicken	2018-01-28	Asia	Taiwan	Yunlin	GSGD-2344c	-	Farm	Huang_2021	Yunlin	Chicken/Turkey	1162	570b|571b	M2.R2	M2	570b|571b	Chiayi:1|Pingtung:1|Tainan:1|Yunlin:7	Changhua:3|Chiayi:1|Pingtung:4|Tainan:2|Yunlin:11	Changhua:4|Chiayi:3|Pingtung:7|Taichung:1|Tainan:2|Yunlin:14	Changhua:5|Chiayi:5|Pingtung:16|Taichung:1|Tainan:2|Yunlin:33
