cluster	loc.d	loc.o	span	span2	intro_date	intro_date2	rep_strain	area
cluster_289	Italy	Russian_Federation	0.5	0.38000000000010914	2017.44	2017.56	mallard/Italy/17VIR6103-1/2017	gE
cluster_290	Italy	Russian_Federation	0.9200000000000728	0.8600000000001273	2017	2017.06	chicken/Italy/17VIR3078/2017	gE
cluster_291	Russian_Federation	Italy	2.5499999999999545	0	2018.22	2020.77	goose/Tatarstan/1730-2/2020	gNA
cluster_292	Japan	Russian_Federation	0.6400000000001	0.3400000000001455	2017.55	2017.85	tufted_duck/Shimane/3211TY001/2017	gNA
cluster_293	Korea	Japan	0.4500000000000455	0.37000000000011823	2017.75	2017.83	chicken/Korea/H219/2018	gNA
cluster_294	Netherlands	Russian_Federation	0.2799999999999727	0.05999999999994543	2016.75	2016.97	Mallard/Netherlands/3/2017	gE
cluster_295	United_Kingdom	Netherlands	0.19000000000005457	0.01999999999998181	2016.78	2016.95	turkey/England/052131/2016	gE
cluster_296	Belgium	Netherlands	0.38000000000010914	0.009999999999990905	2017.07	2017.44	Guinea_fowl/Belgium/6102/2017	gE
cluster_297	Germany	Russian_Federation	1.6100000000001273	0.6700000000000728	2017.05	2017.99	buzzard/Germany-NRW/AR279/2018	gE
cluster_298	Korea	Germany	0.44000000000005457	0.2699999999999818	2017.77	2017.94	duck/Korea/H35/2017	gNA
cluster_299	Japan	Korea	0.03999999999996362	0	2017.99	2018.03	chicken/Kagawa/2T-2/2018	gNA
cluster_300	Netherlands	Germany	0.22000000000002728	0	2017.98	2018.2	Domestic_Duck/Netherlands/EMC-6/2018	gE
cluster_301	Netherlands	Germany	0.16000000000008185	0	2017.99	2018.15	Chicken/Netherlands/EMC-1/2018	gE
cluster_302	Netherlands	Germany	1.5199999999999818	1.4500000000000455	2017.13	2017.2	Buzzard/Netherlands/18004242-002/2018	gE
cluster_303	United_Kingdom	Netherlands	0.12999999999988177	0.029999999999972715	2017.9	2018	mute_swan/England/AVP_18_001986/2017	gE
cluster_304	Ukraine	Russian_Federation	0.17000000000007276	0	2016.78	2016.95	White-fronted_Goose/AN/1-15-12/2016	gE
cluster_305	Russian_Federation	Ukraine	1.9700000000000273	0.959999999999809	2016.87	2017.88	chicken/Rostov-on-Don/1598/2017	gNA
cluster_306	Israel	Russian_Federation	0.4099999999998545	0	2016.69	2017.1	turkey/Israel/184/2017	gWA
cluster_307	Egypt	Israel	5.5	5.259999999999991	2016.76	2017	chicken/Egypt/ME-2018/2018	gWA
cluster_308	Russian_Federation	Egypt	2.1900000000000546	1.6200000000001182	2020.01	2020.58	duck/Chelyabinsk/1207-1/2020	gNA
cluster_309	Kazakhstan	Russian_Federation	0.2799999999999727	0	2020.3	2020.58	chicken/Kazakhstan/23/2020	gWA
cluster_310	Denmark	Russian_Federation	0.25	0.029999999999972715	2020.61	2020.83	peregrine_falcon/Denmark/13776-1/2020-10-30_H5N5	gE
cluster_311	Sweden	Russian_Federation	0.25	0.08000000000015461	2021.13	2021.3	Chicken/Sweden/SVA210420SZ0002/KN099429-IP22/2021	gE
cluster_312	Netherlands	Russian_Federation	0.21000000000003638	0	2020.72	2020.93	chicken/Netherlands/20019422-001005/2020	gE
cluster_313	China	Russian_Federation	0.8500000000001364	0.009999999999990905	2020.54	2021.38	brown-headed_gull/Tibet/N38/2021	gCN
