mean	stderr_mean	stdev	variance	median	mode	geom_mean	hpd_interval_low	hpd_interval_high	act	ess	epoch	epochv	name	type	bf	model
0.00339966003399658	5.820449784417796e-4	0.05821031829395775	0.003388441155883872	0	0	0	0	0	1	10001	0	T2	roadDist	Inclusion	0.05736763593193468	RandEffect -
0.005299470052994708	7.26006789520159e-4	0.07260793901990971	0.005271912808718928	0	0	0	0	0	1	10001	0	T2	sharedBorders	Inclusion	0.0895968183042428	RandEffect -
0.5846415358464151	0.005199951827715368	0.49280837451345383	0.24286009399059258	1	1	0	0	1	1.1136002929243773	8980.780683647998	0	T2	poultryFarm_O	Inclusion	23.671135760142846	RandEffect -
0.03749625037496249	0.0019801005827225315	0.18998392198009934	0.036093890610940475	0	0	0	0	0	1.086494819536336	9204.829899021468	0	T2	poultryFarm_D	Inclusion	0.6551457151895559	RandEffect -
0.07609239076092414	0.002651326258653977	0.26515913912801004	0.07030936906310739	0	0	0	0	1	1	10001	0	T2	poultryPop_O	Inclusion	1.3850491342018982	RandEffect -
0.05729427057294279	0.002387887399981627	0.23241565845737655	0.05401703829617591	0	0	0	0	1	1.055805144663477	9472.391805012161	0	T2	poultryPop_D	Inclusion	1.0220862426756074	RandEffect -
0.04219578042195771	0.0020630672904301383	0.20104561190482897	0.04041933806618711	0	0	0	0	0	1.0532329672896878	9495.52502684742	0	T2	poultryHetero_O	Inclusion	0.7408747134810127	RandEffect -
0.0027997200279972025	5.283561711117303e-4	0.05284090067288804	0.0027921607839220194	0	0	0	0	0	1	10001	0	T2	poultryHetero_D	Inclusion	0.047215512369694394	RandEffect -
0.13668633136686323	0.0035556607377661012	0.34353308210733075	0.11801497850216205	0	0	0	0	1	1.0714955096097976	9333.683538853118	0	T2	cropland_O	Inclusion	2.6626186205188302	RandEffect -
0.02669733026697331	0.001647124302948285	0.16120540090787305	0.025987181281868083	0	0	0	0	0	1.0441921618024277	9577.739008054627	0	T2	cropland_D	Inclusion	0.46128827305765807	RandEffect -
0.18548145185481435	0.004214223991495114	0.3887070756764373	0.15109319068092758	0	0	0	0	1	1.17564768371138	8506.800241742518	0	T2	viralSample_O	Inclusion	3.8295875518255813	RandEffect -
0.9030096990300971	0.0032045460298745555	0.2959593566791383	0.0875919408059294	1	1	0	0	1	1.1726157782124773	8528.7953529377	0	T2	viralSample_D	Inclusion	156.57290254850562	RandEffect -
0.07879212078792183	0.0027293503019943884	0.2694275058005879	0.07259118088192582	0	0	0	0	1	1.0264116006357988	9743.654488905811	1	T1	roadDist	Inclusion	1.4383932650758133	RandEffect -
0.035996400359963966	0.0018627181698289458	0.18629044416460538	0.03470412958704596	0	0	0	0	0	1	10001	1	T1	sharedBorders	Inclusion	0.6279613471878512	RandEffect -
0.03599640035996398	0.0019266517383810453	0.18629044416460616	0.034704129587046245	0	0	0	0	0	1.0698235050669953	9348.270955566366	1	T1	poultryFarm_O	Inclusion	0.6279613471878515	RandEffect -
0.010298970102989745	0.001130015130778131	0.10096494742206037	0.010193920607939416	0	0	0	0	0	1.2528934102167895	7982.323091849862	1	T1	poultryFarm_D	Inclusion	0.1750017009240152	RandEffect -
0.010298970102989748	0.0010095485193686565	0.10096494742206241	0.010193920607939827	0	0	0	0	0	1	10001	1	T1	poultryPop_O	Inclusion	0.17500170092401526	RandEffect -
0.00939906009399072	9.648723638213339e-4	0.09649688510577407	0.009311648835116962	0	0	0	0	0	1	10001	1	T1	poultryPop_D	Inclusion	0.15956520157867804	RandEffect -
0.012398760123987529	0.001106517351455744	0.11066280031909555	0.012246255374464015	0	0	0	0	0	1	10001	1	T1	poultryHetero_O	Inclusion	0.21112960052577748	RandEffect -
0.0045995400459952086	6.766037603141306e-4	0.06766714206902169	0.004578842115789164	0	0	0	0	0	1	10001	1	T1	poultryHetero_D	Inclusion	0.07770859590907417	RandEffect -
0.031096890310968718	0.0017952916297101348	0.17358826778136857	0.030132886711336123	0	0	0	0	0	1.0698333396425417	9348.185020427189	1	T1	cropland_O	Inclusion	0.5397455949151564	RandEffect -
0.006699330066993288	8.686825850598916e-4	0.08157888506563617	0.006655114488552276	0	0	0	0	0	1.1341057532782772	8818.401609453822	1	T1	cropland_D	Inclusion	0.11342352535958175	RandEffect -
0.9778022197780223	0.0015802746619931144	0.14733366648213347	0.021707209279068537	1	1	0	1	1	1.1506626456675393	8691.513570598334	1	T1	viralSample_O	Inclusion	740.7880471774328	RandEffect -
0.9900009999000099	0.0011794740330523454	0.09949879395751784	0.00990000999900059	1	1	0	1	1	1.4054907424293803	7115.664086633075	1	T1	viralSample_D	Inclusion	1665.0663923029053	RandEffect -
0.004113608686343753	0.01992855219841699	1.9930545053636821	3.972266261350472	-0.027110498751846457	n/a	n/a	-3.8236108578683496	3.9186326639780096	1	10001	0	T2	roadDist	Coeff	NA	RandEffect -
0.021689602600031808	0.020613392350629284	1.9764379647914603	3.90630702866901	0.0169046023735252	n/a	n/a	-3.718149966838956	4.009966329706594	1.0879762592131634	9192.296169433728	0	T2	sharedBorders	Coeff	NA	RandEffect -
1.1970682696895871	0.017866714277956317	1.7299464160620002	2.9927146024457594	1.557583400502724	n/a	n/a	-2.986761517163932	3.917415453285632	1.0668686079093892	9374.162784297989	0	T2	poultryFarm_O	Coeff	NA	RandEffect -
0.07588816368142677	0.019566465564975467	1.9568422211531944	3.8292314784877672	0.12402195160010288	0.984209659671011	n/a	-3.835066282862722	3.967147283078773	1	10001	0	T2	poultryFarm_D	Coeff	NA	RandEffect -
