mean	stderr_mean	stdev	variance	median	mode	geom_mean	hpd_interval_low	hpd_interval_high	act	ess	epoch	epochv	name	type	bf
0.9183081691830803	0.0057652452850788976	0.2739083376282007	0.07502577742224441	1	1	0	0	1	4.431103852884799	2256.999684963152	0	T2	viralSample_O	Inclusion	43.24823278275377
0.98950104989501	0.0017917215591663703	0.10193017719937492	0.01038976102389597	1	1	0	1	1	3.09045436514654	3236.0937319732216	0	T2	viralSample_D	Inclusion	362.60094780985776
0.11988801119888011	0.003298441248830766	0.3248467753530189	0.10552542745725473	0	0	0	0	1	1.031210295559124	9698.312791356917	0	T2	roadDist	Inclusion	0.5240785276225659
0.9891010898910103	0.0030027774480509274	0.10383256656661397	0.010781201879810319	1	1	0	1	1	8.365000421759753	1195.5767478486368	1	T1	viralSample_O	Inclusion	349.15330487731603
0.9803019698030195	0.0035645823312682027	0.13896743793105185	0.019311948805120747	1	1	0	1	1	6.5807903185421255	1519.7262814803632	1	T1	viralSample_D	Inclusion	191.46774561759014
0.6086391360863911	0.005142155152521135	0.48807925367118604	0.238221357864222	1	1	0	0	1	1.1101879556918075	9008.38452509416	1	T1	roadDist	Inclusion	5.983303432304677
1.4055917046357345	0.012192959787603843	0.8880846321411449	0.7886943138452727	1.444995105002254	n/a	n/a	-0.12596147498214166	3.2496924232638995	1.885369285820085	5304.531093838114	0	T2	viralSample_O	Coeff	NA
2.3203364963865036	0.010196571544562721	0.7185832606457268	0.5163619024802445	2.3355217109122908	n/a	n/a	1.0181357656365368	3.64589828308722	2.013914384811556	4965.950923944467	0	T2	viralSample_D	Coeff	NA
-0.062241365547937584	0.018728092010162317	1.8729964819363374	3.5081158213458963	-0.09188509690843227	n/a	n/a	-3.854579229236111	3.749280299936503	1	10001	0	T2	roadDist	Coeff	NA
3.7523568853627256	0.02156665914802929	1.171147694818337	1.3715869230783044	3.751151455744708	n/a	n/a	1.6395470581553964	6.066639407905369	3.391792439750933	2948.588446271316	1	T1	viralSample_O	Coeff	NA
2.1087712857208065	0.01299366414246287	0.6883511273423187	0.4738272745134411	2.1591406765667585	n/a	n/a	0.9346421270518628	3.2753613497397542	3.5639374447250387	2806.165976566849	1	T1	viralSample_D	Coeff	NA
-0.4088592592089421	0.013059967340436502	1.3061273337170545	1.7059686118828217	-0.5877742379035371	n/a	n/a	-3.1104300557595286	2.9183545954436227	1	10001	1	T1	roadDist	Coeff	NA
