mean	stderr_mean	stdev	variance	median	mode	geom_mean	hpd_interval_low	hpd_interval_high	act	ess	location
0.6855627361079015	0.013535729081323626	0.4835890473431959	0.23385836671029978	0.5936240631949528	n/a	n/a	-0.17745070413194342	1.602550718416744	7.8360509125813325	1276.2806305843023	From Changhua
0.522287435759492	0.0051559586265974185	0.3310710069850027	0.10960801166606371	0.5034498221447257	n/a	n/a	-0.18140702371601056	1.1600938812376476	2.425846979863428	4122.683781383046	To Changhua
0.4522219015897381	0.004727964577758463	0.4728437374216254	0.22358120001885104	0.47782774535775513	n/a	n/a	-0.5141752826816032	1.4053196914136608	1	10001	From Chiayi
0.589897823175961	0.005005130957136052	0.3058747468832428	0.09355936078088783	0.5558538044427066	n/a	n/a	0.002622991360846164	1.1978237410308417	2.6781228737181033	3734.3320196938416	To Chiayi
0.44570139396142666	0.0058422520900076715	0.48606448297060373	0.2362586816054803	0.4825074502323682	n/a	n/a	-0.5200185557267683	1.4159871052585875	1.4449727719814303	6921.237682759966	From Hsinchu
0.5873336352946574	0.004229468066916666	0.39812229252915393	0.15850135980866922	0.5520157488560755	n/a	n/a	-0.1874129972874025	1.474162082560956	1.1288217343734812	8859.680581496561	To Hsinchu
0.46944863090904676	0.006672832150839461	0.5059053992788464	0.255940273019489	0.4928352977636996	n/a	n/a	-0.552123417755208	1.4766971621548752	1.7400776427606333	5747.444685360943	From Hualien
0.46152390615463973	0.0059408810533816536	0.5073922287550325	0.25744687380099923	0.4906774023032556	n/a	n/a	-0.5699822433613655	1.4457380467639456	1.3712004475220405	7293.609054805421	To Hualien
0.3691571275283628	0.006855538354506425	0.4994085493545728	0.24940889916843875	0.4481586430058618	n/a	n/a	-0.6554663303342533	1.2203696189581152	1.8847686044102394	5306.221663815013	From Kaohsiung
0.258176065926737	0.004197607024869973	0.35370710879239303	0.12510871881027374	0.3243117012763941	n/a	n/a	-0.4973075116461446	0.8789467124275647	1.4086491381235915	7099.709735613764	To Kaohsiung
0.4407248741408536	0.005152261297861268	0.4806931654441969	0.23106591930476206	0.4756439926161276	n/a	n/a	-0.6483873589735246	1.3292586781011706	1.1490706195912037	8703.555577426549	From Miaoli
0.5295753306751324	0.004030466107705927	0.3954276468457146	0.15636302388993917	0.5241814143848298	n/a	n/a	-0.2831155996211954	1.3729451966023587	1.0391143465387547	9624.542316553421	To Miaoli
0.45161569713833183	0.0066044534773868424	0.4952139198951899	0.2452368264579596	0.4901366432212378	n/a	n/a	-0.6149939964273168	1.349609235862515	1.778995861365093	5621.7106611624395	From Nantou
0.4138343137950358	0.004949785193366698	0.38803722849303524	0.15057289069655602	0.4627089540661334	n/a	n/a	-0.4208809533964806	1.1621483657214513	1.6274691723593773	6145.1240796784705	To Nantou
0.5980396205848114	0.011910527817914095	0.46658007827928455	0.21769696944710332	0.5406093670149522	n/a	n/a	-0.278255666965155	1.5093528254056905	6.517731818447212	1534.429503787507	From Pingtung
0.3402124112079098	0.005525088600899803	0.3504734125600742	0.12283161291150398	0.3657302490278479	n/a	n/a	-0.42323388597069145	0.9606118060273704	2.485737095699151	4023.353884569626	To Pingtung
0.36939037868797975	0.007875792615176487	0.49701350755460155	0.24702242669172797	0.4439958949860659	n/a	n/a	-0.6986543847041871	1.1870384880292897	2.511533725512173	3982.0289484508166	From Taichung
0.15675108421371575	0.008520873868911902	0.48007940767285556	0.23047623767151987	0.27767976664750943	n/a	n/a	-0.8841224420528768	0.8839519170081646	3.1508590216470007	3174.055053333465	To Taichung
0.677663706601032	0.010073917543782264	0.548229242658306	0.30055530250569973	0.5836436429921021	n/a	n/a	-0.3256187495535792	1.7955598984625678	3.377219154360916	2961.312115941889	From Tainan
0.8027486099094034	0.0074891982397022015	0.3603143913557767	0.1298264606180838	0.7367246024240687	n/a	n/a	0.22150699831863563	1.56518161941218	4.321099734631312	2314.457109112135	To Tainan
0.42110205764587333	0.0054712404677254006	0.48379319509897956	0.23405585562407932	0.4704244418704829	n/a	n/a	-0.591323618672214	1.358722279558531	1.2792014696509073	7818.158622604821	From Taoyuan
0.5075481872862166	0.004076822611198945	0.38156407946321524	0.14559114673661083	0.5083205066888152	n/a	n/a	-0.3121572569626011	1.2783716468729396	1.1418144055134616	8758.8665475828	To Taoyuan
0.44602648742331835	0.006276087670355395	0.4921419913257808	0.2422037396261049	0.48243389952499616	n/a	n/a	-0.5689124788171704	1.4095008343633408	1.6266121553691542	6148.361775724163	From Yilan
0.5184413972441376	0.004493903802288085	0.427044530173882	0.1823670307514316	0.5140804963015793	n/a	n/a	-0.3407331011373732	1.4435213610383704	1.10761306674886	9029.326486148819	To Yilan
0.7436894506415858	0.021942089726774104	0.6654140247677649	0.44277582435763563	0.5758236913838871	n/a	n/a	-0.2175640351091397	2.103356110308724	10.87574277912056	919.5693759142679	From Yunlin
0.866427551178117	0.014882832167503747	0.5493974249207045	0.30183753050950113	0.730680467377635	1.65238963737601	n/a	0.053889639233265285	1.9630029869722545	7.339809430118697	1362.5694366070575	To Yunlin
