tree	state	t1_p	t2_p
1	Changhua	0.7984024053715095	0.3451857125586366
1	Chiayi	0.14757898100756572	0.16496200284760174
1	Kaohsiung	0.3023571059034771	0.23650332701173407
1	New_Taipei	0	0.02974931121100054
1	Pingtung	0.5787261202349482	0.695792827456951
1	Taichung	0.01317106071804684	0
1	Tainan	0.5339050901824908	0.21660958904295627
1	Taipei	0	0.19369465746484707
1	Yunlin	1	1
2	Changhua	1	0.22089041095706038
2	Chiayi	0.16556937839202612	0.2242423428905864
2	Kaohsiung	0.38948155477704566	0.3765728823281046
2	New_Taipei	0	0.06067386828902545
2	Pingtung	0.5618058700560052	0.3895170193711287
2	Taichung	0.005537569584087157	0
2	Tainan	0.7457589350316244	0
2	Taipei	0.29042032747664115	0.389982876710944
2	Yunlin	0.7774047675660875	1
3	Changhua	0.8539669790882825	0.3022260273984907
3	Chiayi	0.14447017025476955	0.3101146189609562
3	Kaohsiung	0.37536039304365093	0.23106661401176115
3	New_Taipei	0	0.1227658867538312
3	Pingtung	0.6274602822304189	0.7097495995038248
3	Tainan	0.23759074739418184	0
3	Taipei	0	0.2624976922656331
3	Yunlin	1	1
4	Changhua	0.8995328595805968	0.22089041096096837
4	Chiayi	0.6086970335591562	0.20561314372267991
4	Kaohsiung	0.3971038645972336	0.22624143835548588
4	New_Taipei	0	0.06320601748432537
4	Pingtung	0.647979522223137	0.7486046986679035
4	Taichung	0.0015399509345497282	0
4	Tainan	0.5087369077256949	0.21660958904295627
4	Taipei	0	0.368095882558503
4	Yunlin	0.7793449438357138	1
5	Changhua	0.7694351709826146	0.22089041095706038
5	Chiayi	0.07903080620269615	0.3088196413477253
5	Kaohsiung	0.24573700246358665	0.2178738441445413
5	New_Taipei	0	0.22311058347648952
5	Pingtung	0.5585389766930382	0.7762001513827252
5	Taichung	0.024262519445285846	0
5	Tainan	0.43435764578874436	0.21660958904295627
5	Taipei	0	0.20829127589062338
5	Taoyuan	0.019554348459795357	0
5	Yunlin	1	1
6	Changhua	0.8722057924821462	0.22089041095706038
6	Chiayi	0.15214199322129077	0.16128809987109327
6	Kaohsiung	0.32727884669379337	0.282600121410129
6	Nantou	0	1.1998103905951651e-4
6	New_Taipei	0	0.049104595710943735
6	Pingtung	0.6034083127958919	0.5025467938905785
6	Taichung	0.004700039265526834	0
6	Tainan	0.5419910099706194	0
6	Taipei	0	0.20017334467964146
6	Yunlin	0.9175378962143431	1
7	Changhua	0.5437140037508281	0
7	Chiayi	0.08604286989524979	0.29397307366012776
7	Kaohsiung	0.30110930216964765	0.3407416854999338
7	New_Taipei	0	0.0367636422422077
7	Pingtung	0.5672600982709874	0.2946065887655692
7	Taichung	0.012504378350324911	0
7	Tainan	0.1916146408429551	0
7	Taipei	0	0.21894696929683677
7	Yunlin	1	1
8	Changhua	0.7868266799910983	0.3022260273984907
8	Chiayi	0.21338698383576166	0.289072448597663
8	Kaohsiung	0.35078444570902345	0.2963310296250099
8	Nantou	0	0.03453219957032283
8	New_Taipei	0	0.07184377624999753
8	Pingtung	0.5594611016202499	0.2949762297265202
8	Taichung	0.0071423209043803585	0
8	Tainan	0.417233076001862	0.21660958903904828
8	Taipei	0	0.31537871593359057
8	Taoyuan	0.00817693634359111	0
8	Yunlin	1	1
9	Changhua	0.8220216701273637	0.22089041095706038
9	Chiayi	0.1343199193766299	0.14152465192179986
9	Kaohsiung	0.3787561867877859	0.2786084917890708
9	New_Taipei	0	0.09335064335544355
9	Pingtung	0.5763451369894276	0.5238374231406697
9	Taichung	0.0074403318316899674	0
9	Tainan	0.23269463560191303	0
9	Taipei	0	0.2938737406328131
9	Yunlin	1	1
10	Changhua	1	0.22089041096096837
10	Chiayi	0.1060267877988478	0.18822321650392276
10	Kaohsiung	0.3599251499367911	0.24443528985152468
10	Nantou	0	0.045696817738246874
10	New_Taipei	0	0.2653949537577736
10	Pingtung	0.5230447138066339	0.6173561840429304
10	Taichung	0.009890808745533693	0
10	Tainan	0.3947378361361198	0.07841972858990158
10	Taipei	0	0.23080822220310046
10	Yunlin	0.5035027591322483	1
11	Changhua	1	0.22089041095706038
11	Chiayi	0.16989686178983324	0.1608387402655678
11	Kaohsiung	0.33563874620162865	0.22065763309767236
11	Nantou	0.016744457481061233	0.09256809548049902
11	New_Taipei	0	0.10181573445312987
11	Pingtung	0.599391751313301	0.7571759447538562
11	Taichung	0.010820268351893349	0
11	Tainan	0.4252526626700813	0.1364805369218921
11	Taipei	0	0.24833654433978325
11	Yunlin	0.8118552094310586	1
12	Changhua	1	0.22089041095706038
12	Chiayi	0.13294018760288198	0.2820104623515705
12	Kaohsiung	0.3594446842829132	0.4225549250585984
12	New_Taipei	0	0.04252068291794299
12	Pingtung	0.5398676422164078	0.31541052840242756
12	Taichung	0.019645279323851166	0
12	Tainan	0.31456345236143346	0.21660958903904828
12	Taipei	0	0.1712321036913762
12	Taoyuan	0.011759576809660348	0
12	Yunlin	0.6588959544995151	1
13	Changhua	1	0.22089041095706038
13	Chiayi	0.16313263798372343	0.31273259839836975
13	Kaohsiung	0.3503498986946917	0.2646810319258107
13	New_Taipei	0	0.11313588851943682
13	Pingtung	0.5449994039764162	0.4758831710116274
13	Taichung	0.00534501780749577	0
13	Tainan	0.26592454448624087	0
13	Taipei	0.05983463333910438	0.31214563555861496
13	Yunlin	0.6658077690929151	1
14	Changhua	1	0.22089041096096837
14	Chiayi	0.18818412368919699	0.32332048228906934
14	Kaohsiung	0.3839776931503364	0.22732361805857934
14	New_Taipei	0	0.24139100282807893
14	Pingtung	0.5769979256819155	0.7266400874686283
14	Taichung	0.028326351454365666	0
14	Tainan	0.39615085639017367	0
14	Taipei	0	0.23029536373434079
14	Yunlin	0.7530523883733592	1
15	Changhua	0.624880254947955	0.15074028421880972
15	Chiayi	0.12018751455691157	0.14269069744140697
15	Kaohsiung	0.3765242402371686	0.5556416962850876
15	New_Taipei	0	0.014767733964847875
15	Pingtung	0.6456498703390071	0.5025163271054838
15	Tainan	0.37089745689572545	0
15	Taipei	0	0.2589568152343172
15	Taoyuan	0.0023091029861990035	0
15	Yunlin	0.8425168145557884	1
16	Changhua	0.7511640544254715	0
16	Chiayi	0.12424834117412516	0.12728148558983882
16	Kaohsiung	0.3847163292790561	0.21793766128517994
16	New_Taipei	0	0.10115141548431722
16	Pingtung	0.5808480370852658	0.7706587970624325
16	Taichung	0.008095612438477095	0
16	Tainan	0.3779948972869768	0.21660958904295627
16	Taipei	0	0.2704127229531212
16	Yunlin	0.690153207507165	1
17	Changhua	1	0.22089041095706038
17	Chiayi	0.161632647154989	0.2960138651640931
17	Kaohsiung	0.40564979765895326	0.4183738217070571
17	New_Taipei	0	0.08519533307422258
17	Pingtung	0.5638840478590484	0.6763183698554874
17	Taichung	0.0033023717183430406	0
17	Tainan	0.41794594988102446	0.21660958904295627
17	Taipei	0	0.2212431903007534
17	Yunlin	0.7680643141232705	1
18	Changhua	1	0.22089041095706038
18	Chiayi	0.1911732673155633	0.20047755695705471
18	Kaohsiung	0.34690035183885015	0.30700550973434976
