tree	state	t1_p	t2_p
1	Changhua	0.40970240872322594	0.29739078437891686
1	Chiayi	0.13730757003295227	0.23021042927345414
1	Pingtung	0.5537295284231232	0.503015599015521
1	Taichung	0.003098863910470016	0
1	Tainan	0.1764344337792813	0.29528396611320457
1	Yunlin	1	1
2	Changhua	0.7962522478262997	0.3135049839101855
2	Chiayi	0.0675471840549054	0.1361266230351618
2	Pingtung	0.5148805063926868	0.41496433657807724
2	Tainan	0.17312205842222217	0
2	Yunlin	1	1
3	Changhua	0.8428965539170833	0.3022260273984907
3	Chiayi	0.08913155278175441	0.1639511384452841
3	Pingtung	0.5647100747344603	0.28681841001556857
3	Taichung	0.0031293130239146896	0
3	Tainan	0.2930343477371698	0
3	Yunlin	1	1
4	Changhua	0.7759023647062373	0.3022260273984907
4	Chiayi	0.11461562285652158	0.17886355221480202
4	Kaohsiung	0	0.15905018096872317
4	Pingtung	0.25652289096686837	0.2977143470234166
4	Taichung	0.019910685536571455	0
4	Tainan	0.23870233411388397	0
4	Yunlin	1	1
5	Changhua	0.7268090910047895	0.22089041095706038
5	Chiayi	0.10938156429137635	0.17882039280080378
5	Pingtung	0.5033402683901544	0.7313611208826959
5	Taichung	0.005382903859400477	0
5	Tainan	0.15484174236190465	0.1913806961248858
5	Yunlin	1	1
6	Changhua	0.49135957327783497	0.3022260273984907
6	Chiayi	0.09715702534540291	0.18571553278901998
6	Pingtung	0.5282192347917879	0.5070078814999426
6	Taichung	0.0033798200600826897	0
6	Tainan	0.7724341386028852	0.25088550742181054
6	Yunlin	1	1
7	Changhua	0.7990008168901638	0.22089041095706038
7	Chiayi	0.11666652215036301	0.20943754605465523
7	Kaohsiung	0	0.18909064201560855
7	Pingtung	0.5207076205666915	0.6519629979686585
7	Taichung	0.0016048363998053669	0
7	Tainan	0.14832514066218191	0.30806212041019215
7	Yunlin	1	1
8	Changhua	0.6544833121648189	0.22089041095706038
8	Chiayi	0.38715145310695154	0.19368982456641007
8	Pingtung	0.7327255135136153	0.502544966929596
8	Taichung	0.005243966940300403	0
8	Tainan	0.27888374878498845	0.22784628656243439
8	Yunlin	0.9253804594223466	1
9	Changhua	0.27671102930208263	0.34488606849618525
9	Chiayi	0.1273135218373443	0.13969461930861848
9	Pingtung	0.2991260430262915	0.4528856388554075
9	Taichung	0.008956191327513423	0
9	Tainan	0.13719445241733405	0.18792581063279254
9	Yunlin	1	1
10	Changhua	0.7901667163849388	0.3022260273984907
10	Chiayi	0.17929103086279327	0.11608360290623947
10	Pingtung	0.5469710288499124	0.6363776746718411
10	Taichung	0.006178106369990085	0
10	Tainan	0.3113219854002618	0
10	Yunlin	1	1
11	Changhua	0.8178758065385072	0.22089041095706038
11	Chiayi	0.12882756200114193	0.15787885251555878
11	Pingtung	0.5892542906581013	0.48003608151555666
11	Taichung	0.0025801205624883363	0
11	Tainan	0.13209499403942399	0
11	Yunlin	1	1
12	Changhua	0.5686516144575529	0.22089041095706038
12	Chiayi	0.07190064875756419	0.2249850118203182
12	Pingtung	0.2875526665546072	0.29699773683205194
12	Taichung	0.001348236206618205	0
12	Tainan	0.31449084743487865	0.21660958904295627
12	Yunlin	1	1
