statistic	time	lower	mean	upper
pro_Changhua	2014.8	0	0.326292	1
pro_Changhua	2014.9	0	0.815479	1
pro_Changhua	2015	0.871108	0.989273	1
pro_Changhua	2015.1	1	1	1
pro_Changhua	2015.2	1	1	1
pro_Changhua	2015.3	1	0.99952	1
pro_Changhua	2015.4	1	0.994755	1
pro_Changhua	2015.5	1	0.979751	1
pro_Changhua	2015.6	1	0.979228	1
pro_Changhua	2015.7	1	0.980329	1
pro_Changhua	2015.8	0.49474	0.972749	1
pro_Changhua	2015.9	0	0.900796	1
pro_Changhua	2016	0	0.760998	1
pro_Changhua	2016.1	0	0.716269	1
pro_Changhua	2016.2	0	0.700213	1
pro_Changhua	2016.3	0	0.684702	1
pro_Changhua	2016.4	0	0.67008	1
pro_Changhua	2016.5	0	0.583822	1
pro_Changhua	2016.6	0	0.306272	1
pro_Changhua	2016.7	0	0.110074	1
pro_Changhua	2016.8	0	0.0596331	1
pro_Changhua	2016.9	0	0.0521163	0.654689
pro_Changhua	2017	0	0.046229	0.5
pro_Changhua	2017.1	0	0.0405113	0.5
pro_Changhua	2017.2	0	0.0328072	0.5
pro_Changhua	2017.3	0	0.0310402	0.5
pro_Changhua	2017.4	0	0.0307828	0.5
pro_Changhua	2017.5	0	0.0318307	0.5
pro_Changhua	2017.6	0	0.0309909	0.5
pro_Changhua	2017.7	0	0.0287936	0.5
pro_Changhua	2017.8	0	0.0265922	0.5
pro_Changhua	2017.9	0	0.0190012	0.498823
pro_Changhua	2018	0	0.0116607	0.147049
pro_Changhua	2018.1	0	0.00762395	0
pro_Changhua	2018.2	0	0.00513477	0
pro_Changhua	2018.3	0	0.00350101	0
pro_Changhua	2018.4	0	0.00224826	0
pro_Changhua	2018.5	0	0.00180913	0
pro_Changhua	2018.6	0	0.0015	0
pro_Changhua	2018.7	0	0.0015	0
pro_Changhua	2018.8	0	0.00103387	0
pro_Changhua	2018.9	0	0.000693708	0
pro_Chiayi	2014.8	0	0.161551	1
pro_Chiayi	2014.9	0	0.0855773	0.974821
pro_Chiayi	2015	0	0.0107268	0.128892
pro_Chiayi	2015.1	0	0	0
