tree	state	t1_p	t2_p
1	Changhua	0.7882945979250932	0.4143308879414218
1	Chiayi	0.1386723447242721	0.26600923912496893
1	Nantou	0.061564134979825505	0.01157449523043674
1	Pingtung	0.53394686092115	0.6656916878788882
1	Taichung	0.004603757495448063	0
1	Tainan	0.40320731849736846	0.11661257479297683
1	Yunlin	0.6399349927100203	1
2	Changhua	0.9159594686585757	0.22089041095706038
2	Chiayi	0.14370449477703734	0.3682589509218488
2	Nantou	0.010832360793354427	0
2	Pingtung	0.591624553595732	0.5780889181249692
2	Taichung	0.004730750556484914	0
2	Tainan	0.43620773797146395	0
2	Yunlin	0.8103622269307693	0.7741866438358979
3	Changhua	0.83425446634616085	0.22089041095706038
3	Chiayi	0.45896974888331904	0.1921690388906198
3	Kaohsiung	0.21204431348401892	0
3	Pingtung	0.6742447145138037	0.7196564212029923
3	Taichung	0.0029054257830094586	0
3	Tainan	0.567234154384322	0
3	Yunlin	0.7244882213510871	1
4	Changhua	0.8634951459073287	0.46758338910552094
4	Chiayi	0.4349438554393526	0.38975517146472993
4	Pingtung	0.5937921725628711	0.5775116113202082
4	Taichung	0.002298440873920322	0
4	Tainan	0.4302067451031254	0
4	Yunlin	0.6097379954539577	1
5	Changhua	0.8458171190023974	0.22089041096096837
5	Chiayi	0.15678953005628662	0.48402178155854186
5	Kaohsiung	0.18392172550342062	0
5	Nantou	0.019275095449277305	0
5	Pingtung	0.607415737722968	0.5116911286405222
5	Taichung	0.001882131058174413	0
5	Tainan	0.391778817618691	0
5	Yunlin	0.7519712118588775	1
6	Changhua	0.8648553324104397	0.41122720676953217
6	Chiayi	0.33023271504431584	0.29668909828897355
6	Pingtung	0.5622292383756443	0.6546922504413024
6	Taichung	0.008673638561336306	0
6	Tainan	0.25844432018833535	0
6	Taoyuan	0	0.03284237878124819
6	Yunlin	0.6588315041031277	1
7	Changhua	0.8030716431118592	0.22089041096096837
7	Chiayi	0.14279648489430022	0.42909807132810884
7	Nantou	0	0.01436912605860999
7	Pingtung	0.5491194510526047	0.7661262090272218
7	Taichung	0.0028073108400094105	0
7	Tainan	0.5127257116112494	0.6650256849296539
7	Yunlin	0.7836320979245958	1
8	Changhua	0.9351417035657127	0.22089041096096837
8	Chiayi	0.1349064574806694	0.2527485606172604
8	Nantou	0	0.08936825445315329
8	Pingtung	0.8848652528618782	0.7677654109569702
8	Taichung	0.005378838614461141	0
8	Tainan	0.8121935245337624	0
8	Yunlin	0.7337879264920646	1
9	Changhua	0.825183277372898	0.22089041096096837
9	Chiayi	0.11069225956798835	0.29496129941797516
9	Nantou	0	0.07047398132424355
9	Pingtung	0.5389991051343812	0.3950950887851423
9	Taichung	0.0049221882094524026	0
9	Tainan	0.5591659907187607	0.6297089041094069
9	Yunlin	0.5393474904040596	1
10	Changhua	0.8972283321143357	0.31129614279688084
10	Chiayi	0.1277791342295661	0.36092098946089785
10	Pingtung	0.5707272825957759	0.7816370581874038
10	Taichung	0.002723032946219486	0
10	Tainan	0.32774864427663114	0
10	Yunlin	0.6624290486575012	1
11	Changhua	0.9061769071148771	0.3022260273984907
11	Chiayi	0.11637794345096009	0.15079283518363387
11	Nantou	0	0.025324797910196106
11	Pingtung	0.5978941082681973	0.29477603869530145
11	Taichung	0.007599486505605839	0
11	Tainan	0.46378076400666346	0.1460499147968876
11	Yunlin	0.7767304247692449	1
12	Changhua	0.8136106651127681	0.22089041095706038
12	Chiayi	0.35676353498736857	0.435133638171929
12	Pingtung	0.535901518675332	0.7817975684452
12	Taichung	0.017956829263832637	0
12	Tainan	0.4712186292196001	0.6629465696757372
12	Yunlin	0.5629520901195199	1
13	Changhua	0.8441176190961687	0.22089041095706038
13	Chiayi	0.09931447213705016	0.36021272063277776
