mean	stderr_mean	stdev	variance	median	mode	geom_mean	hpd_interval_low	hpd_interval_high	act	ess	name	epoch	from	to	bf	mj_prop	from_i	to_i	type
0.06389361063893612	0.0025245697490431053	0.24457554718363567	0.059817198280174795	0	0	0	0	1	1.0657013961342157	9384.429856504066	Changhua.Chiayi	0	Changhua	Chiayi	0.8190557573168127	3.502616484450778e-4	6	9	geo.indicators.epoch0.Changhua.Chiayi
0.05369463053694638	0.0022819096561452323	0.22542537199740673	0.05081659834016921	0	0	0	0	1	1.024892126456869	9758.100137401025	Changhua.Hsinchu	0	Changhua	Hsinchu	0.6808960270498743	5.3886407453088886e-5	6	2	geo.indicators.epoch0.Changhua.Hsinchu
0.05899410058994101	0.002421904559148377	0.23562544019100234	0.05551934806520362	0	0	0	0	1	1.0567117736558367	9464.264759159627	Changhua.Hualien	0	Changhua	Hualien	0.7523111252789291	4.191165024129136e-5	6	13	geo.indicators.epoch0.Changhua.Hualien
0.16988301169883055	0.004857159304659367	0.37554876688966055	0.1410368763123446	0	0	0	0	1	1.67308832718325	5977.5684508165305	Changhua.Kaohsiung	0	Changhua	Kaohsiung	2.455793784630217	0.0038379096863811087	6	11	geo.indicators.epoch0.Changhua.Kaohsiung
0.16358364163583666	0.004374776422461353	0.3699158231657339	0.1368377162283825	0	0	0	0	1	1.3989196253254925	7149.0883528587465	Changhua.Miaoli	0	Changhua	Miaoli	2.346921697549317	0.0036103892993569553	6	4	geo.indicators.epoch0.Changhua.Miaoli
0.09799020097990206	0.003459745396537027	0.29731626310039677	0.08839696030398436	0	0	0	0	1	1.3543714913986327	7384.236942016673	Changhua.Nantou	0	Changhua	Nantou	1.3036248752909887	0.0014279897975068554	6	7	geo.indicators.epoch0.Changhua.Nantou
0.09589041095890358	0.0036638536296724256	0.29445561565208256	0.08670410958904697	0	0	0	0	1	1.5485434753006226	6458.326911395549	Changhua.Pingtung	0	Changhua	Pingtung	1.272727272727265	0.0029008849345579517	6	12	geo.indicators.epoch0.Changhua.Pingtung
0.05769423057694245	0.002350365303376372	0.23317599125062946	0.05437104289571363	0	0	0	0	1	1.0162251197880658	9841.323349776781	Changhua.Taichung	0	Changhua	Taichung	0.7347198641765724	5.3886407453088886e-5	6	5	geo.indicators.epoch0.Changhua.Taichung
0.25157484251574785	0.01056606926673476	0.4339398225825988	0.1883037696230173	0	0	0	0	1	5.930000735160192	1686.5090657918502	Changhua.Tainan	0	Changhua	Tainan	4.033667334669326	0.012049599444371265	6	10	geo.indicators.epoch0.Changhua.Tainan
0.19018098190180943	0.0049492917166256796	0.39246347249429775	0.1540275772422824	0	0	0	0	1	1.5906494328853933	6287.3690413722825	Changhua.Taoyuan	0	Changhua	Taoyuan	2.818125694530182	0.004589325701421404	6	1	geo.indicators.epoch0.Changhua.Taoyuan
0.14628537146285428	0.004556516063043789	0.35340974824553706	0.1248984501549739	0	0	0	0	1	1.6626300152125848	6015.168683648038	Changhua.Yilan	0	Changhua	Yilan	2.0562192550948795	0.0031104431857644087	6	3	geo.indicators.epoch0.Changhua.Yilan
0.1413858614138583	0.004452459315733429	0.34843656409178253	0.12140803919608688	0	0	0	0	1	1.6331998413443727	6123.561701896598	Changhua.Yunlin	0	Changhua	Yunlin	1.976010248049372	0.015061250883138342	6	8	geo.indicators.epoch0.Changhua.Yunlin
0.053294670532946516	0.0022602014053828383	0.2246316853442625	0.050459394060603756	0	0	0	0	1	1.012602755380392	9876.52852696717	Chiayi.Hsinchu	0	Chiayi	Hsinchu	0.6755386565272472	7.184854327078518e-5	9	2	geo.indicators.epoch0.Chiayi.Hsinchu
0.060093990600939756	0.002433682302715138	0.23767278170814285	0.05648835116488653	0	0	0	0	1	1.0487107606301962	9536.471232535225	Chiayi.Hualien	0	Chiayi	Hualien	0.7672340425531895	5.688009675603827e-5	9	13	geo.indicators.epoch0.Chiayi.Hualien
0.23737626237376114	0.005194879666646198	0.4254960344262786	0.18104687531248886	0	0	0	0	1	1.4908941305485808	6708.055116106795	Chiayi.Kaohsiung	0	Chiayi	Kaohsiung	3.735151435688969	0.006277766468284855	9	11	geo.indicators.epoch0.Chiayi.Kaohsiung
0.2378762123787623	0.005526682483956915	0.4258042379721708	0.18130924907506107	0	0	0	0	1	1.6849845544901627	5935.365979082266	Chiayi.Miaoli	0	Chiayi	Miaoli	3.7454736289687784	0.00610712617801674	9	4	geo.indicators.epoch0.Chiayi.Miaoli
0.22687731226877278	0.010563060210902765	0.41883354431826997	0.17542153784620423	0	0	0	0	1	6.36185038355888	1572.026909945239	Chiayi.Nantou	0	Chiayi	Nantou	3.5214692188308265	0.006113113556622639	9	7	geo.indicators.epoch0.Chiayi.Nantou
0.16948305169483133	0.009907047963761306	0.37519677868783996	0.14077262273773197	0	0	0	0	1	6.973602419877733	1434.1224804403669	Chiayi.Pingtung	0	Chiayi	Pingtung	2.448832169516027	0.01236992419978685	9	12	geo.indicators.epoch0.Chiayi.Pingtung
0.057894210578941604	0.0024109433332762326	0.23355497255993968	0.05454792520747418	0	0	0	0	1	1.065816953043283	9383.412387505772	Chiayi.Taichung	0	Chiayi	Taichung	0.7374230524304751	6.286747536193704e-5	9	5	geo.indicators.epoch0.Chiayi.Taichung
0.10458954104589495	0.004904775285900187	0.30603910535515433	0.09365993400658326	0	0	0	0	1	2.5690421913142827	3892.8905230955515	Chiayi.Tainan	0	Chiayi	Tainan	1.40167504187604	0.004580344633512556	9	10	geo.indicators.epoch0.Chiayi.Tainan
